2.444444444444444364e-01 1.015059590999997711e+10 4.142542949999972343e+09
2.666666666666666630e-01 2.876002174499972153e+10 1.624324474499979401e+10
2.888888888888888618e-01 7.300620904499980164e+10 4.989831304499967957e+10
3.111111111111111160e-01 1.668713349600004883e+11 1.289083629600004425e+11
3.333333333333333148e-01 3.448674255840029907e+11 2.891883999840029297e+11
3.555555555555555691e-01 6.466264229700068359e+11 5.735477018700068359e+11
3.777777777777777679e-01 1.103068603889993652e+12 1.017093637889993896e+12
4.000000000000000222e-01 1.715884494939992432e+12 1.625133141939992188e+12
4.222222222222222210e-01 2.438362177020002930e+12 2.352387211020003418e+12
4.444444444444444198e-01 3.169870830125987793e+12 3.096792109025987793e+12
4.666666666666666741e-01 3.773655750150008301e+12 3.717976724550008789e+12
4.888888888888888729e-01 4.116715363800036133e+12 4.078752391800036133e+12
5.111111111111110716e-01 4.116715363800064941e+12 4.093607467800064941e+12
5.333333333333333259e-01 3.773655750150008301e+12 3.761138973150008301e+12
5.555555555555555802e-01 3.169870830126010254e+12 3.163862777166010254e+12
5.777777777777777235e-01 2.438362177020020508e+12 2.435820308460020508e+12
5.999999999999999778e-01 1.715884494939992432e+12 1.714943062139992432e+12
6.222222222222222321e-01 1.103068603889993652e+12 1.102766000489993652e+12
6.444444444444444864e-01 6.466264229700068359e+11 6.465429461700068359e+11
6.666666666666666297e-01 3.448674255840005493e+11 3.448479476640005493e+11
6.888888888888888840e-01 1.668713349599998779e+11 1.668675650399998779e+11
7.111111111111111382e-01 7.300620904500006104e+10 7.300561999500006104e+10
7.333333333333332815e-01 2.876002174499961853e+10 2.875995034499961853e+10
7.555555555555555358e-01 1.015059590999997711e+10 1.015058960999997711e+10
7.777777777777777901e-01 3.190187285999983788e+09 3.190186925999983788e+09
8.000000000000000444e-01 8.861631350000004768e+08 8.861631250000004768e+08
8.222222222222221877e-01 2.155531949999988377e+08 2.155531949999988377e+08
8.444444444444444420e-01 4.537962000000017136e+07 4.537962000000017136e+07
8.666666666666666963e-01 8.145059999999953434e+06 8.145059999999953434e+06
8.888888888888888395e-01 1.221758999999982305e+06 1.221758999999982305e+06
9.111111111111110938e-01 1.489950000000012806e+05 1.489950000000012806e+05
9.333333333333333481e-01 1.419000000000005275e+04 1.419000000000005275e+04
9.555555555555556024e-01 9.899999999999947704e+02 9.899999999999947704e+02
9.777777777777777457e-01 4.499999999999991473e+01 4.499999999999991473e+01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
